country,internet_m,internet_f,acct,acct_ed,acct_f,acct_labor,acct_m,acct_nolabor,acct_old,acct_poor,acct_rich,acct_rural,acct_uned,acct_young,barrier_fam,barrier_nodocs,barrier_nofunds,barrier_noneed,barrier_relig,barrier_tooexpens,barrier_toofar,barrier_trust,borrow,borrow_ed,borrow_f,borrow_labor,borrow_m,borrow_nolabor,borrow_old,borrow_poor,borrow_rich,borrow_rural,borrow_uned,borrow_young,dig_pay,dig_pay_ed,dig_pay_f,dig_pay_labor,dig_pay_m,dig_pay_nolabor,dig_pay_old,dig_pay_poor,dig_pay_rich,dig_pay_rural,dig_pay_uned,dig_pay_young,mm,mm_ed,mm_f,mm_labor,mm_m,mm_nolabor,mm_old,mm_poor,mm_rich,mm_rural,mm_uned,mm_young,urban,acct_urban,borrow_urban,dig_pay_urban,mm_urban
Algeria,0.6809999999999999,0.503,0.42776626348495483,0.48959365487098694,0.2926872968673706,0.5857893228530884,0.562549352645874,0.28673526644706726,0.4874707758426666,0.34970802068710327,0.4796714186668396,0.4377795457839966,0.3894815742969513,0.28583598136901855,0.2064986228942871,0.11504068970680237,0.3553098440170288,0.11981682479381561,0.07590384036302567,0.08700336515903473,0.06821481138467789,0.14592579007148743,0.04952048510313034,0.07082617282867432,0.03271670266985893,0.08204549551010132,0.06628746539354324,0.020492853596806526,0.06612572073936462,0.045827627182006836,0.05197606608271599,0.06118406727910042,0.03643347695469856,0.010046331211924553,0.2597552239894867,0.3137734532356262,0.19621889293193817,0.373241126537323,0.3231523931026459,0.15847232937812805,0.3146350383758545,0.19845372438430786,0.30051788687705994,0.27707383036613464,0.22367696464061737,0.1292942315340042,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.7262900000000001,0.4239926530840534,0.0451249418939649,0.2532285256302193,NA
Andorra,0.929,0.903,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Angola,0.22399999999999998,0.20199999999999999,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Argentina,0.752,0.735,0.4791669249534607,0.5124666690826416,0.5018941164016724,0.4782247841358185,0.45429494976997375,0.4811391532421112,0.5288543105125427,0.37442344427108765,0.5488305687904358,0.47515037655830383,0.4263618290424347,0.31277042627334595,0.22973865270614624,0.29868659377098083,0.5905112624168396,0.025523653253912926,0.028035063296556473,0.42766767740249634,0.1115589588880539,0.25411298871040344,0.2436933070421219,0.29862022399902344,0.24279633164405823,0.2775838375091553,0.2446749359369278,0.17274941504001617,0.2897321581840515,0.15052202343940735,0.3056603968143463,0.22569790482521057,0.15659281611442566,0.08910377323627472,0.40177983045578003,0.4728410542011261,0.4245534837245941,0.43228211998939514,0.3768569827079773,0.3379285931587219,0.43369919061660767,0.31237298250198364,0.461243212223053,0.3864072859287262,0.28909429907798767,0.29507914185523987,0.024161674082279205,0.0345955453813076,0.015782639384269714,0.03002232499420643,0.03333144262433052,0.011893422342836857,0.022814417257905006,0.011320526711642742,0.032702162861824036,0.014342427253723145,0.007616137154400349,0.02874979004263878,0.9187000000000001,0.4795223678450752,0.24528580317822168,0.4031402178184114,0.025030624520029948
Armenia,0.6629999999999999,0.634,0.453288197517395,0.4529227316379547,0.3935519754886627,0.5786831974983215,0.5229606032371521,0.31862106919288635,0.4663633108139038,0.3369769752025604,0.5308066606521606,0.4517958164215088,0.455929696559906,0.4050850570201874,0.189887136220932,0.07597208768129349,0.5558315515518188,0.05365309119224548,0.013763584196567535,0.24857330322265625,0.1385144740343094,0.19656427204608917,0.312097430229187,0.3048265874385834,0.2829751968383789,0.3868241310119629,0.3460637032985687,0.23184522986412048,0.3218213617801666,0.2834602892398834,0.33118337392807007,0.30062004923820496,0.36465126276016235,0.276248961687088,0.4151565432548523,0.4104374647140503,0.3389885127544403,0.559739887714386,0.5039939284324646,0.25988227128982544,0.41443881392478943,0.27328211069107056,0.50971221923828125,0.39968162775039673,0.44926613569259644,0.4178026020526886,0.0975530669093132,0.0825515016913414,0.061950989067554474,0.1525421440601349,0.13907699286937714,0.038497935980558395,0.07606705278158188,0.07557441294193268,0.11220128834247589,0.10638077557086945,0.205984428524971,0.17676399648189545,0.63149,0.45415908598379195,0.31879512879763117,0.424187028476387,0.09240160145638428
Australia,0.87,0.861,0.9951937198638916,0.99671173095703125,0.9919509291648865,1,0.9985454082489014,0.9856845736503601,0.9963609576225281,0.9928784370422363,0.9967347979545593,0.9934492111206055,1,1,NA,NA,NA,NA,NA,NA,NA,NA,0.6373687386512756,0.6499171257019043,0.6384785175323486,0.7096892595291138,0.636221706867218,0.49428340792655945,0.6972389817237854,0.4998151659965515,0.7289235591888428,0.5922781825065613,0.3822932541370392,0.2553689479827881,0.958639919757843,0.9615379571914673,0.9614797830581665,0.9764959216117859,0.9557046890258789,0.9233118891716003,0.9776766300201416,0.945460319519043,0.9674121141433716,0.9143241047859192,0.9384081959724426,0.855989933013916,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.86012,0.9954774266524918,0.6447017468286493,0.9658469329632942,NA
Austria,0.898,0.857,0.981636643409729,0.9854709506034851,0.983757734298706,0.9891394972801208,0.979349672794342,0.9638908505439758,0.9909359216690063,0.979066014289856,0.9833476543426514,0.99326491355896,0.9595869779586792,0.925929069519043,NA,NA,NA,NA,NA,NA,NA,NA,0.4732334315776825,0.49122124910354614,0.4632246196269989,0.5192274451255798,0.4840250313282013,0.3644476532936096,0.5150959491729736,0.40078485012054443,0.5214549899101257,0.4431455135345459,0.25635525584220886,0.22245553135871887,0.9611996412277222,0.9659702777862549,0.9523871541023254,0.9752541780471802,0.9707013964653015,0.9279577136039734,0.9794628024101257,0.9387586116790771,0.976136326789856,0.9762886166572571,0.9260477423667908,0.8517940640449524,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.58297,0.9733183122771942,0.4947569481592034,0.9504056802633862,NA
Azerbaijan,0.8370000000000001,0.76,0.28571203351020813,0.2990400195121765,0.2771962583065033,0.3187306821346283,0.2943609356880188,0.21658959984779358,0.34541717171669006,0.18135179579257965,0.3549879789352417,0.2021544873714447,0.20483112335205078,0.12570999562740326,0.2106056809425354,0.4239509701728821,0.6859516501426697,0.042580630630254745,0.05560240522027016,0.39419254660606384,0.14713124930858612,0.4192703664302826,0.15120333433151245,0.1600787490606308,0.12615680694580078,0.18024730682373047,0.1766413301229477,0.09040158241987228,0.1865055412054062,0.10558366775512695,0.1814863681793213,0.12418115884065628,0.10427700728178024,0.05659794434905052,0.2457684427499771,0.26131197810173035,0.22885867953300476,0.2775479257106781,0.26294249296188354,0.17924009263515472,0.296834796667099,0.1522563248872757,0.3078432083129883,0.17929577827453613,0.15922234952449799,0.10891711711883545,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.5568,0.3522219193735342,0.1727123648227974,0.2986791555651988,NA
Bahrain,0.987,0.985,0.8261284828186035,0.8350649476051331,0.7540674209594727,0.8613788485527039,0.8631370663642883,0.7027546167373657,0.8548488020896912,0.758219838142395,0.8713818192481995,0.8459625840187073,0.7140814661979675,0.6730342507362366,0.4619203209877014,0.22127772867679596,0.5634151697158813,0.024416351690888405,0.05636829137802124,0.20113344490528107,0.1197071447968483,0.07627969235181808,0.3632415235042572,0.3753977417945862,0.2353082001209259,0.3988008201122284,0.42894446849823,0.23878636956214905,0.3922535479068756,0.30051523447036743,0.40504133701324463,0.3653741776943207,0.24216464161872864,0.20859195291996002,0.7726433277130127,0.7841149568557739,0.657052755355835,0.8214662671089172,0.8320074677467346,0.6017664670944214,0.8013978004455566,0.6768276691436768,0.8364934325218201,0.7687898278236389,0.6230184435844421,0.6193670630455017,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.89287,0.8237487105543689,0.36298563939640105,0.7731056855513863,NA
Belarus,0.7929999999999999,0.79,0.8115588426589966,0.8944199681282043,0.8133817315101624,0.9368441104888916,0.8093417286872864,0.566622793674469,0.8500646352767944,0.7441338896751404,0.8563957214355469,0.7468492984771729,0.339865505695343,0.5515895485877991,0.47274133563041687,0.15396182239055634,0.5435022115707397,0.04322827607393265,0.03564825281500816,0.14801618456840515,0.2517473101615906,0.2574341595172882,0.21459567546844482,0.24895164370536804,0.22707600891590118,0.30155637860298157,0.199415922164917,0.04458513483405113,0.22629210352897644,0.19247697293758392,0.22930437326431274,0.1788465827703476,0.022096019238233566,0.1356281191110611,0.7865252494812012,0.8761986494064331,0.7813919186592102,0.9204903244972229,0.7927688956260681,0.5246199369430542,0.8245176076889038,0.7291936874389648,0.8246501088142395,0.713918924331665,0.27595219016075134,0.530022382736206,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.78595,0.8291822002925857,0.2243317824625637,0.806299260421157,NA
